Id_Produktu,LP,Indeks,Identyfikator,Opis,Cena brutto,Sciezka,Kategoria,Atrybut,Formularz Zamowien,Warstwy,Kolor
220,14,"ZAPALNICZKA JET MIX GUMA","ZAPALNICZKA JET MIX GUMA","Zapalniczka gazowa z żarowym płomieniem z możliwością wielokrotnego napełnienia.",10.0000,"1.5","Zapalniczki i popielniczki","0",,"Warstwa 1",
222,13,"PODKŁADKA SUB","PODKŁADKA SUB","Podkładka pod myszkę z barwnym wydrukiem wykonanym w technice sublimacyjnej. Wymiary podkładki 24cm x 20cm",7.5000,"8","Ozdoby domowe","0",,"Warstwa 1",
285,0,"BRAK","KIELISZEK OMBRE","Brak opisu",0.0000,"3","Ceramika i szkło","0",,"Warstwa 1,cut",
287,0,"DK42-009A","KORKOCIĄG DREWNO","Brak opisu",0.0000,"3","Otwieracze do butelek","0",,"Warstwa 1,cut",
288,0,"DK42-009B","SCYZORYK DREWNO","Brak opisu",0.0000,"3","Akcesoria podróżne","0",,"Warstwa 1,cut",
289,0,"DK42-009C","OTWIERACZ DREWNO","Brak opisu",0.0000,"3","Otwieracze do butelek","0",,"Warstwa 1,cut",
290,0,"DK42-045A1","PIERSIÓWKA 1","Brak opisu",0.0000,"6","Akcesoria podróżne","0",,"Warstwa 1,cut",
291,0,"DK42-045A2","PIERSIÓWKA 2","Brak opisu",0.0000,"6","Akcesoria podróżne","0",,"Warstwa 1,cut",
292,0,"DK42-045A3","PIERSIÓWKA 3","Brak opisu",0.0000,"2","Akcesoria podróżne","0",,"Warstwa 1,cut",
294,0,"DK41-077A","MAGNES NÓŻKI RYCERZ","Magnes wykonany z tworzywa ceramicznego posiadający miejsce na wykonanie grafiki ze wzorem. Produkt zapakowany w woreczku.",5.0000,"2","Magnesy","0",,"Warstwa 1,cut",
306,0,"DK42-057S","POPIELNICZKA METAL KWADRAT","Brak opisu",0.0000,"2.1","Zapalniczki i popielniczki","0",,"Warstwa 1,cut",
307,0,"DK42-057M","POPIELNICZKA METAL KOŁO ŚREDNIA","Brak opisu",0.0000,"2.1","Zapalniczki i popielniczki","0",,"Warstwa 1,cut",
308,0,"DK42-057L","POPIELNICZKA METAL KOŁO DUŻA","Brak opisu",0.0000,"2.1","Zapalniczki i popielniczki","0",,"Warstwa 1,cut",
310,0,"DK42-037A","DŁUGOPIS BAMBUS GUMKA KOLOR","Brak opisu",0.0000,"3","Długopisy","0",,"Warstwa 1,cut",
311,0,"MAGNES CERAMICZNY ŻYWICOWANY","MAGNES CERAMICZNY ŻYWICOWANY","Brak opisu",0.0000,"2","Magnesy","0",,"Warstwa 1,cut",
312,0,"DK42-163","BRELOK STER","Brak opisu",0.0000,"2","Breloki","0",,"Warstwa 1,cut",
313,0,"DK42-165A","MAGNES METAL KOŁO 1","Brak opisu",0.0000,"2","Magnesy","0",,"Warstwa 1,cut",
314,0,"DK42-185","MAGNES METAL KOŁO 2","Brak opisu",0.0000,"2","Magnesy","0",,"Warstwa 1,cut",
315,0,"DK42-166","MAGNES METAL KOŁO 3","Brak opisu",0.0000,"2","Magnesy","0",,"Warstwa 1,cut",
316,0,"DK42-165B","MAGNES METAL KOŁO 4","Brak opisu",0.0000,"2","Magnesy","0",,"Warstwa 1,cut",
317,0,"ŁYŻECZKA","ŁYŻECZKA","Brak opisu",0.0000,"2","Magnesy","0",,"Warstwa 1,cut",
320,2,"KUBEK CZARNY MAT","KUBEK CZARNY MAT","Brak opisu",12.0000,"3","Ceramika i szkło","0",,"Warstwa 1,cut",
322,4,"KUBEK SUB DUŻY","KUBEK DUŻY SUB","Brak opisu",0.0000,"10","Ceramika i szkło","0",,"Warstwa 1,cut",
325,3,"KIELISZEK M SUB WYSOKI","KIELISZEK M SUB WYSOKI","Brak opisu",0.0000,"10","Ceramika i szkło","0",,"Warstwa 1,cut",
326,8,"KUBEK SUB METAL","KUBEK SUB METAL","Brak opisu",0.0000,"10","Ceramika i szkło","0",,"Warstwa 1,cut",
327,9,"KUBEK SUB METAL KOLOR","KUBEK SUB METAL KOLOR","Brak opisu",0.0000,"10","Ceramika i szkło","0",,"Warstwa 1,cut",
328,11,"KUFEL SUB KOLOR","KUFEL SUB KOLOR","Brak opisu",0.0000,"10","Ceramika i szkło","0",,"Warstwa 1,cut",
329,16,"KUFEL SUB CERAMIKA","KUFEL C1 BECZKA SUB","Brak opisu",0.0000,"10","Ceramika i szkło","0",,"Warstwa 1,cut",
332,0,"KIELISZEK KWADRAT SUB","KIELISZEK KWADRAT SUB","Brak opisu",0.0000,"1.1","Ceramika i szkło","0",,"Warstwa 1,cut",
334,65,"DK42-168","OTWIERACZ KOŁO RATUNKOWE","Brak opisu",0.0000,"2","Otwieracze do butelek","0",,"Warstwa 1,cut",
